k,algorithm,image,mean
2,RandomIncrementalClusterer,inside,19619.858813337654
2,RandomIncrementalClusterer,inside,12593.098242874186
2,RandomIncrementalClusterer,inside,5171.612616181059
2,RandomIncrementalClusterer,inside,4633.222418006491
2,RandomIncrementalClusterer,inside,8508.763506671867
2,RandomIncrementalClusterer,inside,13779.374673808206
2,RandomIncrementalClusterer,inside,4963.588069027191
2,RandomIncrementalClusterer,inside,8769.471173756836
2,RandomIncrementalClusterer,inside,9531.445443882514
2,RandomIncrementalClusterer,inside,6365.5356977258625
4,RandomIncrementalClusterer,inside,4235.5242958266235
4,RandomIncrementalClusterer,inside,1927.0091951248407
4,RandomIncrementalClusterer,inside,3039.5864109205163
4,RandomIncrementalClusterer,inside,3632.4019759219423
4,RandomIncrementalClusterer,inside,3925.778546326699
4,RandomIncrementalClusterer,inside,2549.5627387781806
4,RandomIncrementalClusterer,inside,2493.9927164163146
4,RandomIncrementalClusterer,inside,10751.271237477145
4,RandomIncrementalClusterer,inside,1842.1200699476651
4,RandomIncrementalClusterer,inside,2431.22322636226
8,RandomIncrementalClusterer,inside,1800.1267417408917
8,RandomIncrementalClusterer,inside,2104.148480640684
8,RandomIncrementalClusterer,inside,3854.765476010006
8,RandomIncrementalClusterer,inside,1828.0856249842743
8,RandomIncrementalClusterer,inside,2200.852793718339
8,RandomIncrementalClusterer,inside,1832.4962527152945
8,RandomIncrementalClusterer,inside,1050.608870149163
8,RandomIncrementalClusterer,inside,1472.938360695954
8,RandomIncrementalClusterer,inside,1434.6656214197951
8,RandomIncrementalClusterer,inside,4594.267476574032
2,RandomIncrementalClusterer,outside,13509.376431003891
2,RandomIncrementalClusterer,outside,25249.64779246795
2,RandomIncrementalClusterer,outside,4335.515007429877
2,RandomIncrementalClusterer,outside,9629.683106133836
2,RandomIncrementalClusterer,outside,4536.945452840948
2,RandomIncrementalClusterer,outside,4376.1255471558725
2,RandomIncrementalClusterer,outside,4555.758452889703
2,RandomIncrementalClusterer,outside,21671.1601469759
2,RandomIncrementalClusterer,outside,14869.846214959809
2,RandomIncrementalClusterer,outside,9954.4829440862
4,RandomIncrementalClusterer,outside,2523.758925084368
4,RandomIncrementalClusterer,outside,3004.758519589014
4,RandomIncrementalClusterer,outside,3648.3698466647165
4,RandomIncrementalClusterer,outside,2362.6903820663324
4,RandomIncrementalClusterer,outside,2076.3527308667412
4,RandomIncrementalClusterer,outside,2115.5127502045602
4,RandomIncrementalClusterer,outside,2697.192428054199
4,RandomIncrementalClusterer,outside,1901.5301781103735
4,RandomIncrementalClusterer,outside,1397.8875048013329
4,RandomIncrementalClusterer,outside,4392.312784460428
8,RandomIncrementalClusterer,outside,1036.6526795253358
8,RandomIncrementalClusterer,outside,1331.7859062118437
8,RandomIncrementalClusterer,outside,1383.9879183942985
8,RandomIncrementalClusterer,outside,1149.1883869270198
8,RandomIncrementalClusterer,outside,1228.6646431645129
8,RandomIncrementalClusterer,outside,1213.3271529791582
8,RandomIncrementalClusterer,outside,4550.405486683456
8,RandomIncrementalClusterer,outside,1117.007306722502
8,RandomIncrementalClusterer,outside,1049.2888366412715
8,RandomIncrementalClusterer,outside,1835.6711370520875
