k,algorithm,image,mean
2,PlusPlusSeed,inside_short,7999.438676456404
2,KMeans,inside_short,3574.0441626023767
2,RandomIncrementalClusterer,inside_short,4391.345640625
2,BoundedSelfOrgCluster,inside_short,5604.720849059856
4,PlusPlusSeed,inside_short,2663.3820099344134
4,KMeans,inside_short,1297.6776274344052
4,RandomIncrementalClusterer,inside_short,2375.873762056327
4,BoundedSelfOrgCluster,inside_short,1508.311234568505
8,PlusPlusSeed,inside_short,2369.1230522762344
8,KMeans,inside_short,602.9619903608674
8,RandomIncrementalClusterer,inside_short,1753.8890026041668
8,BoundedSelfOrgCluster,inside_short,1165.6296964712133
2,PlusPlusSeed,outside_short,7027.245683400849
2,KMeans,outside_short,3036.492487360552
2,RandomIncrementalClusterer,outside_short,31742.102787181713
2,BoundedSelfOrgCluster,outside_short,3042.5745405015996
4,PlusPlusSeed,outside_short,1906.0311539834106
4,KMeans,outside_short,1098.3870650293284
4,RandomIncrementalClusterer,outside_short,4950.030942370756
4,BoundedSelfOrgCluster,outside_short,2692.7096195024396
8,PlusPlusSeed,outside_short,1667.5016717785493
8,KMeans,outside_short,519.5385675339379
8,RandomIncrementalClusterer,outside_short,1185.6903372878087
8,BoundedSelfOrgCluster,outside_short,935.3789919002375
