k,algorithm,image,mean
2,RandomIncrementalClusterer,inside_short,9075.531851996528
2,RandomIncrementalClusterer,inside_short,5839.463734326775
2,RandomIncrementalClusterer,inside_short,7121.711411603009
2,RandomIncrementalClusterer,inside_short,7880.341149643133
2,RandomIncrementalClusterer,inside_short,5649.448135464892
2,RandomIncrementalClusterer,inside_short,7772.878409384645
2,RandomIncrementalClusterer,inside_short,10199.803928047839
2,RandomIncrementalClusterer,inside_short,5467.177828269676
2,RandomIncrementalClusterer,inside_short,6604.998473524305
2,RandomIncrementalClusterer,inside_short,5562.71729296875
4,RandomIncrementalClusterer,inside_short,4162.095378954476
4,RandomIncrementalClusterer,inside_short,5220.748005545911
4,RandomIncrementalClusterer,inside_short,5363.043479986497
4,RandomIncrementalClusterer,inside_short,4184.822964988426
4,RandomIncrementalClusterer,inside_short,4295.386660059799
4,RandomIncrementalClusterer,inside_short,2843.5482840470677
4,RandomIncrementalClusterer,inside_short,2367.65859220679
4,RandomIncrementalClusterer,inside_short,4259.4509781057095
4,RandomIncrementalClusterer,inside_short,2152.79389607446
4,RandomIncrementalClusterer,inside_short,3060.11577425733
8,RandomIncrementalClusterer,inside_short,1039.4976578414353
8,RandomIncrementalClusterer,inside_short,3204.2289506655093
8,RandomIncrementalClusterer,inside_short,1322.4138515625
8,RandomIncrementalClusterer,inside_short,1434.107131076389
8,RandomIncrementalClusterer,inside_short,1341.6558068094137
8,RandomIncrementalClusterer,inside_short,3577.879712384259
8,RandomIncrementalClusterer,inside_short,2428.447226417824
8,RandomIncrementalClusterer,inside_short,1221.0434683159722
8,RandomIncrementalClusterer,inside_short,1988.2281569251543
8,RandomIncrementalClusterer,inside_short,1754.7918911072532
2,RandomIncrementalClusterer,outside_short,4720.021145399305
2,RandomIncrementalClusterer,outside_short,15788.066820698303
2,RandomIncrementalClusterer,outside_short,22733.487135850693
2,RandomIncrementalClusterer,outside_short,5486.881090615355
2,RandomIncrementalClusterer,outside_short,10046.208485677083
2,RandomIncrementalClusterer,outside_short,11385.91664544753
2,RandomIncrementalClusterer,outside_short,3402.2203741801695
2,RandomIncrementalClusterer,outside_short,4771.916659915123
2,RandomIncrementalClusterer,outside_short,26590.483047116126
2,RandomIncrementalClusterer,outside_short,19828.57346947338
4,RandomIncrementalClusterer,outside_short,2948.515377652392
4,RandomIncrementalClusterer,outside_short,4505.253934606481
4,RandomIncrementalClusterer,outside_short,3412.0663081114967
4,RandomIncrementalClusterer,outside_short,2623.824636236497
4,RandomIncrementalClusterer,outside_short,2037.7416071566358
4,RandomIncrementalClusterer,outside_short,2979.139511284722
4,RandomIncrementalClusterer,outside_short,2379.1553853684413
4,RandomIncrementalClusterer,outside_short,3256.356872829861
4,RandomIncrementalClusterer,outside_short,5330.67099927662
4,RandomIncrementalClusterer,outside_short,14477.854164930555
8,RandomIncrementalClusterer,outside_short,1313.5036221547068
8,RandomIncrementalClusterer,outside_short,1167.4868773148148
8,RandomIncrementalClusterer,outside_short,1033.7001258680555
8,RandomIncrementalClusterer,outside_short,1398.3368751929013
8,RandomIncrementalClusterer,outside_short,1044.4574516782407
8,RandomIncrementalClusterer,outside_short,957.9070412808642
8,RandomIncrementalClusterer,outside_short,1378.7614599729939
8,RandomIncrementalClusterer,outside_short,2168.402836082176
8,RandomIncrementalClusterer,outside_short,1181.5930820794754
8,RandomIncrementalClusterer,outside_short,1455.5819045621142
