k,algorithm,image,mean
2,PlusPlusSeed,inside01.jpg,6488.908078703704
2,KMeans,inside01.jpg,3081.1414621856898
2,RandomIncrementalClusterer,inside01.jpg,9315.530178433643
2,BoundedSelfOrgCluster,inside01.jpg,3097.966751997188
4,PlusPlusSeed,inside01.jpg,14045.510662133487
4,KMeans,inside01.jpg,1133.5361069704486
4,RandomIncrementalClusterer,inside01.jpg,4589.139439621914
4,BoundedSelfOrgCluster,inside01.jpg,1907.940040577841
8,PlusPlusSeed,inside01.jpg,868.8577382330247
8,KMeans,inside01.jpg,442.1877366769308
8,RandomIncrementalClusterer,inside01.jpg,931.7905377121914
8,BoundedSelfOrgCluster,inside01.jpg,1144.7814597749527
2,PlusPlusSeed,inside11.jpg,2381.0094058641976
2,KMeans,inside11.jpg,1600.6596374229273
2,RandomIncrementalClusterer,inside11.jpg,2349.1462191358023
2,BoundedSelfOrgCluster,inside11.jpg,5684.150678279027
4,PlusPlusSeed,inside11.jpg,6078.323725887346
4,KMeans,inside11.jpg,639.2049570629363
4,RandomIncrementalClusterer,inside11.jpg,1366.8684640239198
4,BoundedSelfOrgCluster,inside11.jpg,2254.315849781213
8,PlusPlusSeed,inside11.jpg,579.3486858603395
8,KMeans,inside11.jpg,411.07935604441195
8,RandomIncrementalClusterer,inside11.jpg,1217.4885035686727
8,BoundedSelfOrgCluster,inside11.jpg,523.1267551885671
2,PlusPlusSeed,inside21.jpg,6897.5147641782405
2,KMeans,inside21.jpg,3389.237396034178
2,RandomIncrementalClusterer,inside21.jpg,8030.482452256944
2,BoundedSelfOrgCluster,inside21.jpg,5598.748149470908
4,PlusPlusSeed,inside21.jpg,13711.207586805556
4,KMeans,inside21.jpg,1214.321064849393
4,RandomIncrementalClusterer,inside21.jpg,5672.909308931327
4,BoundedSelfOrgCluster,inside21.jpg,2100.964021229743
8,PlusPlusSeed,inside21.jpg,1468.746361400463
8,KMeans,inside21.jpg,427.8999176547052
8,RandomIncrementalClusterer,inside21.jpg,836.007924382716
8,BoundedSelfOrgCluster,inside21.jpg,756.1821585243625
2,PlusPlusSeed,inside31.jpg,8322.190343364198
2,KMeans,inside31.jpg,3902.634228847302
2,RandomIncrementalClusterer,inside31.jpg,15601.683997395834
2,BoundedSelfOrgCluster,inside31.jpg,3984.0888791486605
4,PlusPlusSeed,inside31.jpg,8237.346119309414
4,KMeans,inside31.jpg,1033.429960193987
4,RandomIncrementalClusterer,inside31.jpg,3674.9459953703704
4,BoundedSelfOrgCluster,inside31.jpg,1471.5312089778856
8,PlusPlusSeed,inside31.jpg,1599.155089699074
8,KMeans,inside31.jpg,424.9159793503873
8,RandomIncrementalClusterer,inside31.jpg,783.0815094521605
8,BoundedSelfOrgCluster,inside31.jpg,610.6458290142159
2,PlusPlusSeed,inside41.jpg,1807.0156370563273
2,KMeans,inside41.jpg,1412.9572500351544
2,RandomIncrementalClusterer,inside41.jpg,3795.3482325424384
2,BoundedSelfOrgCluster,inside41.jpg,2735.363639863881
4,PlusPlusSeed,inside41.jpg,2821.1059862075617
4,KMeans,inside41.jpg,607.8958124134714
4,RandomIncrementalClusterer,inside41.jpg,2239.7473408564815
4,BoundedSelfOrgCluster,inside41.jpg,1109.9525792295915
8,PlusPlusSeed,inside41.jpg,419.0764920910494
8,KMeans,inside41.jpg,238.94701102583315
8,RandomIncrementalClusterer,inside41.jpg,730.9100400270062
8,BoundedSelfOrgCluster,inside41.jpg,711.0723711413563
2,PlusPlusSeed,inside51.jpg,3601.94486400463
2,KMeans,inside51.jpg,2015.603223524167
2,RandomIncrementalClusterer,inside51.jpg,6741.117774884259
2,BoundedSelfOrgCluster,inside51.jpg,3047.9811298585582
4,PlusPlusSeed,inside51.jpg,1699.4500067515432
4,KMeans,inside51.jpg,800.3681714069116
4,RandomIncrementalClusterer,inside51.jpg,1100.7446633873458
4,BoundedSelfOrgCluster,inside51.jpg,1600.69325570128
8,PlusPlusSeed,inside51.jpg,1205.2654214891975
8,KMeans,inside51.jpg,331.1413428105334
8,RandomIncrementalClusterer,inside51.jpg,1609.7770669367285
8,BoundedSelfOrgCluster,inside51.jpg,538.551505229626
2,PlusPlusSeed,inside61.jpg,3667.81283902392
2,KMeans,inside61.jpg,3268.240302187198
2,RandomIncrementalClusterer,inside61.jpg,17586.17394241898
2,BoundedSelfOrgCluster,inside61.jpg,4143.546166196826
4,PlusPlusSeed,inside61.jpg,3028.299698591821
4,KMeans,inside61.jpg,1048.9293579824252
4,RandomIncrementalClusterer,inside61.jpg,4680.645043885031
4,BoundedSelfOrgCluster,inside61.jpg,1364.2682083689353
8,PlusPlusSeed,inside61.jpg,918.1228129822531
8,KMeans,inside61.jpg,466.6659402125014
8,RandomIncrementalClusterer,inside61.jpg,1396.1798914930555
8,BoundedSelfOrgCluster,inside61.jpg,861.8911913558593
2,PlusPlusSeed,inside71.jpg,3448.5983289930555
2,KMeans,inside71.jpg,2930.005003330747
2,RandomIncrementalClusterer,inside71.jpg,19245.436232156637
2,BoundedSelfOrgCluster,inside71.jpg,6547.7386385599575
4,PlusPlusSeed,inside71.jpg,3661.8232060185187
4,KMeans,inside71.jpg,1056.0011002443814
4,RandomIncrementalClusterer,inside71.jpg,2034.5597231867284
4,BoundedSelfOrgCluster,inside71.jpg,2942.2366362117837
8,PlusPlusSeed,inside71.jpg,2600.622086709105
8,KMeans,inside71.jpg,481.5874057482668
8,RandomIncrementalClusterer,inside71.jpg,1689.140769193673
8,BoundedSelfOrgCluster,inside71.jpg,805.0629001005991
2,PlusPlusSeed,inside81.jpg,3961.140312017747
2,KMeans,inside81.jpg,2567.213114460035
2,RandomIncrementalClusterer,inside81.jpg,30157.275699266975
2,BoundedSelfOrgCluster,inside81.jpg,2570.9640600101734
4,PlusPlusSeed,inside81.jpg,1779.6277498070988
4,KMeans,inside81.jpg,828.9872620036174
4,RandomIncrementalClusterer,inside81.jpg,2142.635792341821
4,BoundedSelfOrgCluster,inside81.jpg,2191.9802529455465
8,PlusPlusSeed,inside81.jpg,4023.974867380401
8,KMeans,inside81.jpg,299.8683701708057
8,RandomIncrementalClusterer,inside81.jpg,1885.809587191358
8,BoundedSelfOrgCluster,inside81.jpg,417.3489893873707
2,PlusPlusSeed,inside91.jpg,3580.925278260031
2,KMeans,inside91.jpg,2377.812676110986
2,RandomIncrementalClusterer,inside91.jpg,14239.536877893519
2,BoundedSelfOrgCluster,inside91.jpg,2799.1771071613343
4,PlusPlusSeed,inside91.jpg,3699.0356954089507
4,KMeans,inside91.jpg,590.7595748907337
4,RandomIncrementalClusterer,inside91.jpg,1376.8641599151235
4,BoundedSelfOrgCluster,inside91.jpg,668.4911137975362
8,PlusPlusSeed,inside91.jpg,1161.8522781635802
8,KMeans,inside91.jpg,289.36293115098493
8,RandomIncrementalClusterer,inside91.jpg,336.9843600501543
8,BoundedSelfOrgCluster,inside91.jpg,310.0451341252399
2,PlusPlusSeed,outside01.jpg,1880.8187909915123
2,KMeans,outside01.jpg,1576.0227388868907
2,RandomIncrementalClusterer,outside01.jpg,42909.28662808642
2,BoundedSelfOrgCluster,outside01.jpg,1576.3595592340885
4,PlusPlusSeed,outside01.jpg,1652.287824074074
4,KMeans,outside01.jpg,561.2260840373879
4,RandomIncrementalClusterer,outside01.jpg,2585.3584567901235
4,BoundedSelfOrgCluster,outside01.jpg,1574.3075703918976
8,PlusPlusSeed,outside01.jpg,997.5587119020062
8,KMeans,outside01.jpg,203.34305543313502
8,RandomIncrementalClusterer,outside01.jpg,635.2356992669753
8,BoundedSelfOrgCluster,outside01.jpg,300.19432509413275
2,PlusPlusSeed,outside11.jpg,3578.681656539352
2,KMeans,outside11.jpg,2584.0522714165613
